name,artist,text
Ancestor's Chosen,Pete Venters,"First strike (This creature deals combat damage before creatures without first strike.)\nWhen Ancestor's Chosen enters the battlefield, you gain 1 life for each card in your graveyard."
Angel of Mercy,Volkan Baga,"Flying\nWhen Angel of Mercy enters the battlefield, you gain 3 life."
Angelic Blessing,Mark Zug,Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.)
Angelic Chorus,Jim Murray,"Whenever a creature enters the battlefield under your control, you gain life equal to its toughness."
Angelic Wall,John Avon,Defender (This creature can't attack.)\nFlying
Aura of Silence,D. Alexander Gregory,Artifact and enchantment spells your opponents cast cost {2} more to cast.\nSacrifice Aura of Silence: Destroy target artifact or enchantment.
Aven Cloudchaser,Justin Sweet,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhen Aven Cloudchaser enters the battlefield, destroy target enchantment."
Ballista Squad,Matthew D. Wilson,"{X}{W}, {T}: Ballista Squad deals X damage to target attacking or blocking creature."
Bandage,Rebecca Guay,Prevent the next 1 damage that would be dealt to target creature or player this turn.\nDraw a card.
Beacon of Immortality,Rob Alexander,Double target player's life total. Shuffle Beacon of Immortality into its owner's library.
Benalish Knight,Zoltan Boros & Gabor Szikszai,Flash (You may cast this spell any time you could cast an instant.)\nFirst strike (This creature deals combat damage before creatures without first strike.)
"Cho-Manno, Revolutionary",Steven Belledin,"Prevent all damage that would be dealt to Cho-Manno, Revolutionary."
Condemn,Daren Bader,Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.
Demystify,Christopher Rush,Destroy target enchantment.
Field Marshal,Stephen Tappin,Other Soldier creatures get +1/+1 and have first strike. (They deal combat damage before creatures without first strike.)
Ghost Warden,Ittoku,{T}: Target creature gets +1/+1 until end of turn.
Glorious Anthem,Kev Walker,Creatures you control get +1/+1.
Hail of Arrows,Anthony S. Waters,Hail of Arrows deals X damage divided as you choose among any number of target attacking creatures.
Heart of Light,Luca Zontini,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nPrevent all damage that would be dealt to and dealt by enchanted creature.
High Ground,rk post,Each creature you control can block an additional creature each combat.
Holy Day,Volkan Baga,Prevent all combat damage that would be dealt this turn.
Holy Strength,Terese Nielsen,Enchant creature\nEnchanted creature gets +1/+2.
Honor Guard,Dan Dos Santos,{W}: Honor Guard gets +0/+1 until end of turn.
Icatian Priest,Stephen Tappin,{1}{W}{W}: Target creature gets +1/+1 until end of turn.
